codigo;marca;producto;bulto;contiene;Unidad;nose;lista;sugerido
8183;OPTIMUM;CACHORRO SOBRE POLLO;12;100;G;12;1270,35;120
8184;OPTIMUM;PERRO ADULTO SOBRE RAZAS PEQUEÑAS POLLO;12;100;G;12;1270,35;120
8185;OPTIMUM;PERRO ADULTO SOBRE RAZAS MEDIANAS/GRANDES POLLO;12;100;G;12;1270,35;120
8186;OPTIMUM;CACHORRO RAZAS PEQUEÑAS POLLO Y ARROZ;;3;KG;4;1118,22;1200
8187;OPTIMUM;CACHORRO RAZAS PEQUEÑAS POLLO Y ARROZ;;15;KG;1;4097,79;4600
8188;OPTIMUM;CACHORRO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ;;3;KG;4;1118,22;1200
8189;OPTIMUM;CACHORRO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ;;15;KG;1;4097,79;4600
8190;OPTIMUM;PERRO ADULTO RAZAS PEQUEÑAS POLLO Y ARROZ;;3;KG;4;1016,57;1100
8191;OPTIMUM;PERRO ADULTO RAZAS PEQUEÑAS POLLO Y ARROZ;;15;KG;1;3725,26;4200
8192;OPTIMUM;PERRO ADULTO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ;;3;KG;4;1016,57;1100
8193;OPTIMUM;PERRO ADULTO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ;;15;KG;1;3725,26;4200
8194;OPTIMUM;GATITO SOBRE POLLO;12;85;G;12;1270,35;120
8195;OPTIMUM;GATITO SOBRE ADULTOS POLLO;12;85;G;12;1270,35;120
8196;OPTIMUM;GATITO SOBRE CASTRADOS POLLO;12;85;G;12;1270,35;120
8197;OPTIMUM;GATITO POLLO;;1;KG;4;622,38;700
8198;OPTIMUM;GATO ADULTOS POLLO;;1;KG;4;565,79;640
8199;OPTIMUM;GATO ADULTOS POLLO;;3;KG;4;1469,79;1600
8200;OPTIMUM;GATO ADULTOS POLLO;;10;KG;1;4177,40;4700
8201;OPTIMUM;GATO CASTRADOS POLLO;;1;KG;4;589,32;670
8202;OPTIMUM;GATO CASTRADOS POLLO;;3;KG;4;1534,80;1700
