codigo;ean;producto;bulto;precio;sugerido;;Prcio Cpra 2U ;1,035;1,23
7235;3779745300046;Ped Cach Sobrecito Carne salsa 12x85g;24;536,92;50;0,85; 456,38 ; 472,36 ; 581,00 
7236;3779745300048;Ped RP Sobrecito Carne salsa 12x100g;24;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7313;7797453000482;Ped RP Sobrecito Pollo salsa 12x100g;24;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7237;3779745300476;Ped Adul Sobrecito Carne salsa 12x100g;24;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7311;3779745300080;Ped Adul Sobrecito Pollo salsa 12x100g;24;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7312;7797453000421;Ped AD 7+ Sobrecito Carne salsa 12x100g;24;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
2527;7797453971690;PEDIGREE LATA CACHORRO x 340 GR,;24;144,34;140;0,85; 122,69 ; 126,98 ; 156,19 
2900;7797453971706;PEDIGREE LATA ADULTO CARNE x 340 GR,;24;144,34;;0,85; 122,69 ; 126,98 ; 156,19 
2528;7797453971713;PEDIGREE LATA ADULTO POLLO x 340 GR,;24;144,34;;0,85; 122,69 ; 126,98 ; 156,19 
7018;7797453971799;Ped Dentastix Razas Pequeñ 20x15,7 gs;2;624,79;45;0,85; 531,07 ; 549,66 ; 676,08 
7019;7797453971805;Ped Dentastix Razas Pequeñ 10x47,1 gs;2;782,15;100;0,85; 664,83 ; 688,10 ; 846,36 
7020;7797453971812;Ped Dentastix Razas Pequeñ 8x110 gs;2;1308,64;210;0,85; 1.112,34 ; 1.151,28 ; 1.416,07 
7021;7797453971829;Ped Dentastix Razas Medianas 18x25,7 gs;2;615,02;50;0,85; 522,77 ; 541,06 ; 665,51 
7022;7797453971836;Ped Dentastix Razas Medianas 10x77,1 gs;2;838,1;110;0,85; 712,39 ; 737,32 ; 906,90 
7023;7797453971843;Ped Dentastix Razas Medianas 8x180 gs;2;1465,31;230;0,85; 1.245,51 ; 1.289,11 ; 1.585,60 
7024;7797453971850;Pedigree Rodeo carne 10x70 gs;2;837,5;110;0,85; 711,88 ; 736,79 ; 906,25 
7025;7797453971867;Pedigree Rodeo Pollo 10x70 gs;2;837,5;110;0,85; 711,88 ; 736,79 ; 906,25 
7026;7797453971874;Pedigree Biscrok Multi 8x100 gs;2;594,61;100;0,85; 505,42 ; 523,11 ; 643,42 
7027;7797453971881;Pedigree Biscrok Multi 4x500 gs;1;1090,19;365;0,85; 926,66 ; 959,09 ; 1.179,69 
6009;7797453001502;PEDIGREE CACHORRO SANO CREC. ETAPA 1 x 1,5 KG;9;304,12;165;0,85; 258,50 ; 267,55 ; 329,09 
6010;7797453001519;PEDIGREE CACHORRO SANO CREC. ETAPA 1 x 3 KG;6;573,23;;0,85; 487,25 ; 504,30 ; 620,29 
8053;7797453972529;PEDIGREE CACHORRO SANO CREC. ETAPA 1 x 8 KG;1;1435,27;;0,85; 1.219,98 ; 1.262,68 ; 1.553,09 
8110;7797453972468;PEDIGREE CACHORRO SANO CREC. ETAPA 1 x 15 KG;1;2615,64;;0,85; 2.223,29 ; 2.301,11 ; 2.830,36 
4298;7797453000642;PEDIGREE CACHORRO SANO CREC. ETAPA 1 x 21 KG;1;3381,8;;0,85; 2.874,53 ; 2.975,14 ; 3.659,42 
6011;7797453001526;PEDIGREE VP NUTR COMPL ADTO ETAPA 2 x 1,5 KG;9;289,63;150;0,85; 246,19 ; 254,80 ; 313,41 
6012;7797453001533;PEDIGREE VP NUTR COMPL ADTO ETAPA 2 x 3 KG;6;545,93;;0,85; 464,04 ; 480,28 ; 590,75 
8054;7797453972499;PEDIGREE VP NUTR COMPL ADTO ETAPA 2 x 8 KG;1;1366,93;;0,85; 1.161,89 ; 1.202,56 ; 1.479,14 
2727;7797453000338;PEDIGREE VP NUTR COMPL ADTO ETAPA 2 x 15 KG;1;2491,08;;0,85; 2.117,42 ; 2.191,53 ; 2.695,58 
4302;7797453000659;PEDIGREE VP NUTR COMPL ADTO ETAPA 2 x 21 KG;1;3069,73;;0,85; 2.609,27 ; 2.700,59 ; 3.321,73 
6007;7797453001540;PEDIGREE VP ADULTO C&V ETAPA 2 x 1,5 KG;9;289,63;150;0,85; 246,19 ; 254,80 ; 313,41 
6028;7797453001557;PEDIGREE VP ADULTO C&V ETAPA 2 x 3 KG;6;545,93;;0,85; 464,04 ; 480,28 ; 590,75 
8055;7797453972536;PEDIGREE VP ADULTO C&V ETAPA 2 x 8 KG;1;1366,93;;0,85; 1.161,89 ; 1.202,56 ; 1.479,14 
2728;7797453000369;PEDIGREE VP ADULTO C&V ETAPA 2 x 15 KG;1;2491,08;;0,85; 2.117,42 ; 2.191,53 ; 2.695,58 
4303;7797453000666;PEDIGREE VP ADULTO C&V ETAPA 2 x 21 KG;1;3069,73;;0,85; 2.609,27 ; 2.700,59 ; 3.321,73 
5996;7797453001564;PEDIGREE VP ADULTO RAZAS PEQ ETAPA 2 x 1,5 KG;9;304,12;165;0,85; 258,50 ; 267,55 ; 329,09 
6029;7797453001571;PEDIGREE VP ADULTO RAZAS PEQ ETAPA 2 x 3 KG;6;573,23;;0,85; 487,25 ; 504,30 ; 620,29 
8051;7797453972505;PEDIGREE VP ADULTO RAZAS PEQ ETAPA 2 x 8 KG;1;1435,27;;0,85; 1.219,98 ; 1.262,68 ; 1.553,09 
8052;7797453972512;PEDIGREE VP ADULTO RAZAS PEQ ETAPA 2 x 15 KG;1;2411,93;;0,85; 2.050,14 ; 2.121,90 ; 2.609,93 
6030;7797453001588;"PEDIGREE VP ADULTO + 7 AÑOS ""ETAPA 3"" x 1,5 KG";9;304,12;165;0,85; 258,50 ; 267,55 ; 329,09 
6031;7797453001595;"PEDIGREE VP ADULTO + 7 AÑOS ""ETAPA 3"" x 3 KG";6;573,23;;0,85; 487,25 ; 504,30 ; 620,29 
8051;7797453972505;"PEDIGREE VP ADULTO + 7 AÑOS ""ETAPA 3"" x 8 KG";1;1435,27;;0,85; 1.219,98 ; 1.262,68 ; 1.553,09 
6032;7797453001601;PEDIGREE BALANCE NATURAL ADULTO x 1,5 KG;10;304,12;165;0,85; 258,50 ; 267,55 ; 329,09 
6033;7797453001618;PEDIGREE BALANCE NATURAL ADULTO x 3 KG;7;573,23;;0,85; 487,25 ; 504,30 ; 620,29 
2723;7797453971676;PEDIGREE BALANCE NATURAL ADULTO x 7 KG;1;1255,86;;0,85; 1.067,48 ; 1.104,84 ; 1.358,96 
2724;7797453971645;PEDIGREE BALANCE NATURAL ADULTO x 15 KG;1;2411,94;;0,85; 2.050,15 ; 2.121,90 ; 2.609,94 
3060;7797453972949;Alimento Champ Mix de Carnes x 1,5kg;9;207,18;85;0,85; 176,10 ; 182,27 ; 224,19 
2716;7797453972956;Alimento Champ Mix de Carnes x 3kg;6;387,45;;0,85; 329,33 ; 340,86 ; 419,26 
2710;7797453972963;Alimento Champ Mix de Carnes x 8kg;1;973,97;;0,85; 827,87 ; 856,85 ; 1.053,93 
2574;7896029006474;ALIMENTO CHAMP MIX DE CARNES X22KG;1;1946,53;;0,85; 1.654,55 ; 1.712,46 ; 2.106,33 
7238;3779745300147;Whiskas Gatito Sobrec carne sals 12x85gr;1;536,92;50;0,85; 456,38 ; 472,36 ; 581,00 
7239;3779745300042;Whiskas Adulto Sobrec carne sals 12x85gr;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7243;3779745300043;Whiskas Adul Sobrec Pavo salsa 12x85gr;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7242;3779745300041;Whiskas Adul Sobrec Salmon salsa 12x85gr;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7240;3779745300148;Whiskas Adul Sobrec Sardina sals 12x85gr;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7241;3779745300055;Whiskas Adul Sobrec Pollo salsa 12x85gr;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7902;3779745300147;WHISKAS POUCH GATITO CARNE SOUFFLE 12x85G;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7785;7797453001480;Whiskas Adulto Sob Carne Souffle 12x85gr;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
7434;7797453001437;WHISKAS POUCH ADULTO PESCADO SOUFFLE 12x85G;1;536,92;;0,85; 456,38 ; 472,36 ; 581,00 
2885;7797453971720;WHISKAS LATA GATITOS CARNE X340G;24;144,34;140;0,85; 122,69 ; 126,98 ; 156,19 
2901;7797453971737;WHISKAS LATA ADULTO CARNE X340G;24;144,34;;0,85; 122,69 ; 126,98 ; 156,19 
2534;7797453971744;WHISKAS LATA ADULTO ATUN X340G;24;144,34;;0,85; 122,69 ; 126,98 ; 156,19 
2734;7797453971751;WHISKAS LATA ADULTO POLLO X340G;24;144,34;;0,85; 122,69 ; 126,98 ; 156,19 
7692;7797453972253;WHISKAS GATITOS CARNE Y LECHE x 500 GR;20;170,85;185;0,85; 145,22 ; 150,31 ; 184,88 
7688;7797453972260;WHISKAS GATITOS CARNE Y LECHE x 1 KG;10;301,69;;0,85; 256,44 ; 265,41 ; 326,46 
7627;7797453972277;WHISKAS GATITOS CARNE Y LECHE x 10 KG;1;2180,34;;0,85; 1.853,29 ; 1.918,15 ; 2.359,33 
7690;7797453972284;WHISKAS ADULTO PESCADO x 500 GR;20;170,85;185;0,85; 145,22 ; 150,31 ; 184,88 
7784;7797453972291;WHISKAS ADULTO PESCADO x1 KG;10;301,69;;0,85; 256,44 ; 265,41 ; 326,46 
3445;7797453971010;WHISKAS ADULTO PESCADO x3 KG;6;820,82;;0,85; 697,70 ; 722,12 ; 888,20 
3320;7797453971454;WHISKAS ADULTO PESCADO x6 KG;1;1611,7;;0,85; 1.369,95 ; 1.417,89 ; 1.744,01 
7640;7797453972321;WHISKAS ADULTO PESCADO x10 KG;1;2180,34;;0,85; 1.853,29 ; 1.918,15 ; 2.359,33 
7691;7797453972383;WHISKAS ADULTO POLLO x 500 GR;20;170,85;185;0,85; 145,22 ; 150,31 ; 184,88 
7786;7797453972390;WHISKAS ADULTO POLLO x 1 KG;10;301,69;;0,85; 256,44 ; 265,41 ; 326,46 
7765;7797453972406;WHISKAS ADULTO POLLO x3 KG;6;820,82;;0,85; 697,70 ; 722,12 ; 888,20 
7698;7797453972413;WHISKAS ADULTO POLLO x10 KG;1;2180,34;;0,85; 1.853,29 ; 1.918,15 ; 2.359,33 
7693;7797453972338;WHISKAS CARNE x 500 GR;20;170,85;185;0,85; 145,22 ; 150,31 ; 184,88 
2539;7797453971065;WHISKAS CARNE x 1 KG;10;301,69;;0,85; 256,44 ; 265,41 ; 326,46 
7683;7797453972369;WHISKAS CARNE x 6 KG;1;820,82;;0,85; 697,70 ; 722,12 ; 888,20 
7689;7797453971096;WHISKAS CARNE x 10 KG;1;2180,34;;0,85; 1.853,29 ; 1.918,15 ; 2.359,33 
7684;7797453972420;WHISKAS ADULTO HOGAREÑOS x 500 GR;20;170,85;195;0,85; 145,22 ; 150,31 ; 184,88 
7685;7797453972437;WHISKAS ADULTO HOGAREÑOS x 1 KG;10;301,69;;0,85; 256,44 ; 265,41 ; 326,46 
7686;7797453972444;WHISKAS ADULTO HOGAREÑOS x3 KG;1;820,82;;0,85; 697,70 ; 722,12 ; 888,20 
7687;7797453972451;WHISKAS ADULTO HOGAREÑOS x10 KG;1;2180,34;;0,85; 1.853,29 ; 1.918,15 ; 2.359,33 
6091;7798120730053;Piedras Sanitarias NIC Bolson 10u x2kg;10;905,991;130;0,65; 588,89 ; 609,51 ; 749,69 
8183;;OPTIMUM SOBRE CACHORRO POLLO 12X100G;12;934,07;70;0,65; 607,15 ; 628,40 ; 772,93 
8184;;OPTIMUM SOBRE ADULTO RAZAS PEQUEÑAS POLLO 12X100G;12;934,07;70;0,65; 607,15 ; 628,40 ; 772,93 
8185;;OPTIMUM SOBRE ADULTO RAZAS MEDIANAS/GRANDES POLLO 12X100G;12;934,07;70;0,65; 607,15 ; 628,40 ; 772,93 
8186;;OPTIMUM CACHORRO RAZAS PEQUEÑAS POLLO Y ARROZ x3KG;4;878,42;780;0,65; 570,97 ; 590,96 ; 726,88 
8187;;OPTIMUM CACHORRO RAZAS PEQUEÑAS POLLO Y ARROZ x15KG;1;3195,61;2900;0,65; 2.077,15 ; 2.149,85 ; 2.644,31 
8188;;OPTIMUM CACHORRO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ x3KG;4;878,42;780;0,65; 570,97 ; 590,96 ; 726,88 
8189;;OPTIMUM CACHORRO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ x15KG;1;3195,61;2900;0,65; 2.077,15 ; 2.149,85 ; 2.644,31 
8190;;OPTIMUM ADULTO RAZAS PEQUEÑAS POLLO Y ARROZ x3KG;4;798,56;710;0,65; 519,06 ; 537,23 ; 660,79 
8191;;OPTIMUM ADULTO RAZAS PEQUEÑAS POLLO Y ARROZ x15KG;1;2926,36;2600;0,65; 1.902,13 ; 1.968,71 ; 2.421,51 
8192;;OPTIMUM ADULTO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ x3KG;4;798,56;710;0,65; 519,06 ; 537,23 ; 660,79 
8193;;OPTIMUM ADULTO RAZAS MEDIANAS/GRANDES POLLO Y ARROZ x15KG;1;2926,36;2600;0,65; 1.902,13 ; 1.968,71 ; 2.421,51 
8194;;OPTIMUM SOBRE GATITO POLLO 12X85G;12;934,07;70;0,65; 607,15 ; 628,40 ; 772,93 
8195;;OPTIMUM SOBRE GATOS ADULTOS POLLO 12X85G;12;934,07;70;0,65; 607,15 ; 628,40 ; 772,93 
8196;;OPTIMUM SOBRE GATOS CASTRADOS POLLO 12X85G;12;934,07;70;0,65; 607,15 ; 628,40 ; 772,93 
8197;;OPTIMUM GATITOS POLLO x1KG;4;488,9;440;0,65; 317,79 ; 328,91 ; 404,56 
8198;;OPTIMUM GATOS ADULTOS POLLO x1KG;4;444,45;400;0,65; 288,89 ; 299,00 ; 367,77 
8199;;OPTIMUM GATOS ADULTOS POLLO x3KG;4;1154,58;1050;0,65; 750,48 ; 776,74 ; 955,39 
8200;;OPTIMUM GATOS ADULTOS POLLO x10KG;1;3281,54;3000;0,65; 2.133,00 ; 2.207,66 ; 2.715,42 
8201;;OPTIMUM GATOS CASTRADOS POLLO x1KG;4;462,94;420;0,65; 300,91 ; 311,44 ; 383,07 
8202;;OPTIMUM GATOS CASTRADOS POLLO x3KG;4;1205,66;1100;0,65; 783,68 ; 811,11 ; 997,66 
